study_id,D1_randomization,D2_deviations,D3_missing,D4_measurement,D5_selection,overall_rob,support_judgement
Crawford1991,some_concerns,low,low,low,low,some_concerns,"Randomization method described but sequence generation details limited; 1991 trial with adequate allocation concealment reported but no specific method described"
Trillet-Lenoir1993,some_concerns,low,low,low,low,some_concerns,"Central randomization stated but specific sequence generation not detailed; double-blind placebo-controlled; complete outcome data reported"
Pettengell1992,some_concerns,low,some_concerns,low,low,some_concerns,"Small single-center trial; randomization method not fully described; 2 patients lost to follow-up with no imputation; double-blind design adequate for FN measurement"
Holmes2002,low,low,low,low,low,low,"Computer-generated randomization with central allocation; double-blind design; ITT analysis; pre-specified primary endpoint; complete follow-up data"
Green2003,low,low,low,low,low,low,"Computer-generated randomization with stratification by country; double-blind; ITT population analyzed; pre-registered protocol; negligible missing data"
Vogel2005,low,low,low,low,low,low,"Central randomization via IVRS; double-blind placebo-controlled; ITT analysis with 99.5% follow-up; pre-specified primary endpoint of FN incidence; landmark trial with rigorous methodology"
TimmerBonte2005,low,some_concerns,low,some_concerns,low,some_concerns,"Adequate randomization via central phone system; open-label design raises concerns for D2 (patients/clinicians aware); FN is partly objective (ANC) but fever reporting may be influenced; antibiotic co-intervention in both arms"
delGiglio2008,low,low,low,low,low,low,"Central IVRS randomization; double-blind placebo-controlled; ITT analysis; adequate sample size; biosimilar equivalence trial with rigorous design"
Doorduijn2003,low,some_concerns,low,high,low,high,"Adequate stratified randomization; open-label design with no blinding of participants or assessors; FN ascertainment may be biased by knowledge of G-CSF allocation; per-protocol reporting for some outcomes"
Balducci2007,low,some_concerns,low,some_concerns,low,some_concerns,"Adequate randomization; open-label design (pegfilgrastim vs no GCSF); large sample mitigates some bias; FN definition standardized but reporting may differ between arms"
Hecht2010,low,low,low,low,low,low,"Central randomization; double-blind placebo-controlled; phase II with adequate methodology; small sample limits power but design is sound"
Romieu2007,low,some_concerns,low,some_concerns,low,some_concerns,"Randomization adequate; open-label design (pegfilgrastim vs standard care); small sample size (N=60); FN outcomes partially objective but open-label may affect reporting thresholds"
Kosaka2015,low,low,low,low,low,low,"Central IVRS randomization; double-blind placebo-controlled; Japanese regulatory trial with GCP compliance; ITT analysis; pre-specified endpoints; adequate follow-up"
Grigg2003,low,low,low,low,some_concerns,low,"Randomization adequate; double-blind; small sample (N=40); published as conference abstract only which limits assessment of selective reporting"
Bondarenko2013,low,low,low,low,low,low,"Central IVRS randomization; double-blind active-controlled; adequate allocation concealment; ITT analysis; pre-registered protocol; phase III regulatory trial"
Buchner2014,low,low,low,low,low,low,"Central randomization; double-blind active-controlled dose-finding study; adequate allocation concealment; ITT population; pre-specified endpoints"
Hegg2016,low,some_concerns,low,some_concerns,low,some_concerns,"Adequate randomization; open-label design (pegfilgrastim vs no GCSF); small sample (N=65); phase II; FN reporting may be influenced by knowledge of allocation"
Bozzoli2015,low,some_concerns,low,some_concerns,low,some_concerns,"Adequate randomization; open-label design; prospective but published as conference abstract; multiple myeloma population differs from solid tumor trials; FN measurement may be influenced by open-label"
