record_id,doi,pmid,title,is_oa,oa_status,best_oa_url,best_oa_pdf_url,host_type,license,updated
AgostiniM202478,10.3390/cancers16244179,,Fulvestrant Monotherapy After CDK4/6 Inhibitors in Metastatic Breast Cancer Patients: A Real-Life Experience,True,gold,https://www.mdpi.com/2072-6694/16/24/4179/pdf?version=1734248298,https://www.mdpi.com/2072-6694/16/24/4179/pdf?version=1734248298,publisher,cc-by,2026-01-14T02:41:26Z
AgrawalYN202536,10.1200/PO-24-00937,,Transcriptomic Predictors of Survival for Palbociclib + Endocrine Therapy Versus Capecitabine in Aromatase Inhibitor-Resistant Breast Cancer From the GEICAM/2013-02 PEARL Trial,True,green,http://publicatio.bibl.u-szeged.hu/37565/1/agrawal-et-al-2025-transcriptomic-predictors-of-survival-for-palbociclib-endocrine-therapy-versus-capecitabine-in.pdf,http://publicatio.bibl.u-szeged.hu/37565/1/agrawal-et-al-2025-transcriptomic-predictors-of-survival-for-palbociclib-endocrine-therapy-versus-capecitabine-in.pdf,repository,other-oa,2026-01-15T02:17:35Z
Andre2021SOLAR1,10.1016/j.annonc.2020.11.011,33246021,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1",True,hybrid,http://www.annalsofoncology.org/article/S0923753420431667/pdf,http://www.annalsofoncology.org/article/S0923753420431667/pdf,publisher,cc-by-nc-nd,2025-10-23T16:56:47Z
BadaouiS2021256,10.1002/onco.13806,,Patient-Reported Outcomes Predict Progression-Free Survival of Patients with Advanced Breast Cancer Treated with Abemaciclib,True,bronze,https://academic.oup.com/oncolo/article-pdf/26/7/562/42367432/oncolo_26_7_562.pdf,https://academic.oup.com/oncolo/article-pdf/26/7/562/42367432/oncolo_26_7_562.pdf,publisher,None,2025-10-23T16:56:47Z
BardiaA2020288,10.1158/1078-0432.CCR-20-1068,,"Phase Ib dose-escalation/expansion trial of ribociclib in combination with everolimus and exemestane in postmenopausal women with HR+, HER2- advanced breast cancer",True,bronze,https://aacrjournals.org/clincancerres/article-pdf/26/24/6417/2064791/6417.pdf,https://aacrjournals.org/clincancerres/article-pdf/26/24/6417/2064791/6417.pdf,publisher,None,2025-10-23T16:56:47Z
BardiaA2021252,10.1158/1078-0432.CCR-20-2114,,"Phase I/II trial of exemestane, ribociclib, and everolimus in women with HR+/HER2- advanced breast cancer after progression on CDK4/6 inhibitors (TRINITI-1)",True,bronze,https://aacrjournals.org/clincancerres/article-pdf/27/15/4177/3091798/4177.pdf,https://aacrjournals.org/clincancerres/article-pdf/27/15/4177/3091798/4177.pdf,publisher,None,2025-10-23T16:56:47Z
BhaveMA2024127,10.1200/JCO.2024.42.16_suppl.1027,,"Imlunestrant, an oral selective estrogen receptor degrader (SERD), in combination with human epidermal growth factor receptor 2 (HER2) directed therapy, with or without abemaciclib, in estrogen receptor (ER) positive, HER2 positive advanced breast cancer (aBC): EMBER phase 1a/1b study",False,closed,,,,,2025-05-22T18:42:22Z
Bidard2022EMERALD,10.1200/JCO.22.00338,35584336,"Elacestrant (oral selective estrogen receptor degrader) Versus Standard Endocrine Therapy for Estrogen Receptor–Positive, Human Epidermal Growth Factor Receptor 2–Negative Advanced Breast Cancer: Results From the Randomized Phase III EMERALD Trial",True,hybrid,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.22.00338?role=tab,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.22.00338?role=tab,publisher,cc-by-nc-nd,2025-12-01T22:21:40Z
BuiT2019355,10.1177/1178223418823238,,Real-World Effectiveness of Palbociclib Versus Clinical Trial Results in Patients With Advanced/Metastatic Breast Cancer That Progressed on Previous Endocrine Therapy,True,gold,https://journals.sagepub.com/doi/pdf/10.1177/1178223418823238,https://journals.sagepub.com/doi/pdf/10.1177/1178223418823238,publisher,cc-by-nc,2025-12-01T22:21:40Z
CetinB2022220,10.2217/fon-2021-0842,,CDK4/6 inhibitors: Mechanisms of resistance and potential biomarkers of responsiveness in breast cancer,False,closed,,,,,2025-06-20T04:27:11Z
